Date;SBA;OAK;BUR;FAT;LAX;SMF;SAN;SFO;SJC
2017-10-11;12.1;16.1;12.1;21.9;15.0;21.0;15.0;23.0;19.9
2017-10-12;15.0;16.1;13.0;8.9;19.9;21.9;14.1;21.9;17.0
2017-10-13;10.1;15.0;10.1;8.9;16.1;13.0;13.0;21.0;18.1
2017-10-14;8.9;18.1;8.9;6.9;16.1;29.1;13.0;23.0;16.1
2017-10-15;12.1;12.1;12.1;8.1;15.0;8.1;10.1;31.1;10.1
2017-10-16;15.0;12.1;16.1;6.9;19.9;8.9;16.1;17.0;10.1
2017-10-17;15.0;14.1;14.1;12.1;18.1;8.1;12.1;17.0;10.1
2017-10-18;14.1;21.0;14.1;8.9;18.1;13.0;12.1;28.0;18.1
2017-10-19;21.9;38.9;14.1;18.1;16.1;23.0;12.1;21.9;25.9
2017-10-20;25.9;23.0;18.1;28.0;21.9;17.0;18.1;21.9;25.1
2017-10-21;16.1;17.0;21.0;14.1;17.0;12.1;16.1;21.9;18.1
2017-10-22;8.9;14.1;10.1;10.1;15.0;17.0;15.0;14.1;15.0
2017-10-23;13.0;16.1;10.1;6.9;14.1;6.9;13.0;8.9;16.1
2017-10-24;15.0;18.1;23.9;8.1;14.1;8.9;12.1;12.1;10.1
2017-10-25;12.1;13.0;12.1;8.1;14.1;8.9;14.1;21.9;13.0
2017-10-26;12.1;13.0;12.1;8.1;15.0;6.9;8.9;25.9;10.1
2017-10-27;12.1;12.1;10.1;8.1;14.1;8.9;12.1;29.1;8.9
2017-10-28;13.0;18.1;13.0;6.9;15.0;8.9;12.1;23.9;14.1
2017-10-29;15.0;17.0;15.0;14.1;14.1;13.0;13.0;23.0;12.1
2017-10-30;13.0;23.9;12.1;17.0;15.0;23.0;12.1;17.0;18.1
2017-10-31;8.9;15.0;13.0;16.1;13.0;13.0;10.1;8.9;16.1
2017-11-01;15.0;16.1;13.0;6.9;17.0;10.1;12.1;12.1;15.0
2017-11-02;13.0;10.1;13.0;8.1;14.1;17.0;14.1;18.1;13.0
2017-11-03;10.1;18.1;12.1;12.1;16.1;18.1;15.0;17.0;17.0
2017-11-04;21.0;23.0;14.1;15.0;19.9;15.0;14.1;21.0;15.0
2017-11-05;15.0;16.1;13.0;17.0;15.0;13.0;12.1;25.1;13.0
2017-11-06;12.1;14.1;15.0;8.9;15.0;8.9;13.0;19.9;14.1
2017-11-07;10.1;10.1;14.1;8.1;16.1;10.1;13.0;29.1;10.1
2017-11-08;13.0;23.0;12.1;10.1;17.0;16.1;16.1;16.1;17.0
2017-11-09;17.0;16.1;12.1;15.0;18.1;19.9;17.0;19.9;15.0
2017-11-10;10.1;13.0;12.1;14.1;16.1;15.0;15.0;15.0;16.1
2017-11-11;10.1;12.1;10.1;8.9;16.1;8.1;12.1;18.1;14.1
2017-11-12;8.1;8.9;6.9;6.9;13.0;8.9;14.1;21.9;12.1
2017-11-13;12.1;14.1;12.1;8.1;13.0;16.1;14.1;16.1;14.1
2017-11-14;10.1;14.1;10.1;6.9;14.1;10.1;14.1;17.0;12.1
2017-11-15;8.9;23.0;8.1;14.1;14.1;17.0;16.1;8.1;18.1
2017-11-16;12.1;23.0;12.1;18.1;15.0;18.1;14.1;25.9;16.1
2017-11-17;21.9;16.1;13.0;23.0;19.9;17.0;13.0;16.1;17.0
2017-11-18;13.0;14.1;14.1;8.1;21.0;14.1;19.9;15.0;10.1
2017-11-19;14.1;10.1;8.9;8.9;18.1;8.1;13.0;14.1;8.9
2017-11-20;12.1;8.9;12.1;8.9;12.1;16.1;12.1;8.9;10.1
2017-11-21;12.1;13.0;12.1;6.0;15.0;14.1;10.1;14.1;8.9
2017-11-22;12.1;14.1;10.1;6.0;13.0;8.9;13.0;15.0;10.1
2017-11-23;8.9;8.9;10.1;10.1;15.0;8.1;12.1;28.0;12.1
2017-11-24;8.9;10.1;10.1;8.1;13.0;12.1;8.1;28.0;12.1
2017-11-25;14.1;13.0;8.9;12.1;12.1;8.9;8.9;18.1;15.0
2017-11-26;14.1;25.9;12.1;16.1;25.1;21.9;12.1;13.0;15.0
2017-11-27;28.0;36.9;19.9;23.0;25.9;21.0;21.0;12.1;23.0
2017-11-28;8.1;10.1;8.1;12.1;15.0;12.1;10.1;6.9;16.1
2017-11-29;15.0;8.9;6.9;8.9;15.0;13.0;8.9;13.0;14.1
2017-11-30;14.1;14.1;8.9;10.1;15.0;8.9;8.9;12.1;15.0
2017-12-01;10.1;8.9;8.9;6.9;13.0;6.9;16.1;16.1;10.1
2017-12-02;13.0;17.0;8.1;8.9;14.1;17.0;10.1;16.1;8.1
2017-12-03;8.9;21.9;10.1;19.9;12.1;19.9;12.1;21.0;19.9
2017-12-04;10.1;25.1;36.9;10.1;14.1;32.0;10.1;32.0;30.0
2017-12-05;15.0;18.1;38.9;12.1;15.0;21.9;8.9;25.1;14.1
2017-12-06;8.9;18.1;35.1;6.9;12.1;8.1;15.0;17.0;8.9
