Date;SBA;OAK;BUR;FAT;LAX;SMF;SAN;SFO;SJC
2017-10-16;;13.0;25.9;8.9;21.0;14.1;21.0;21.0;14.1
2017-10-17;19.0;16.1;17.0;13.0;21.9;10.1;14.1;21.0;13.0
2017-10-18;17.0;23.9;18.1;11.0;21.9;16.1;14.1;31.1;21.9
2017-10-19;29.1;52.1;18.1;21.9;21.9;30.0;15.0;25.1;32.0
2017-10-20;35.1;27.1;25.1;36.9;27.1;23.0;23.0;23.9;31.1
2017-10-21;19.9;23.9;27.1;18.1;21.0;13.0;21.0;25.9;23.0
2017-10-22;12.1;17.0;19.9;12.1;17.0;21.9;17.0;16.1;19.0
2017-10-23;16.1;19.9;14.1;10.1;19.0;10.1;16.1;12.1;21.0
2017-10-24;18.1;23.0;35.1;10.1;16.1;12.1;14.1;13.0;14.1
2017-10-25;14.1;15.0;16.1;11.0;16.1;12.1;17.0;23.9;14.1
2017-10-26;13.0;14.1;16.1;8.9;17.0;10.1;12.1;29.1;13.0
2017-10-27;14.1;14.1;19.9;10.1;17.0;12.1;13.0;38.0;13.0
2017-10-28;14.1;21.0;17.0;8.1;19.0;11.0;17.0;31.1;16.1
2017-10-29;17.0;21.0;19.0;16.1;17.0;19.9;14.1;28.0;13.0
2017-10-30;16.1;29.1;15.0;23.0;19.0;25.9;16.1;19.0;23.0
2017-10-31;12.1;17.0;19.0;19.0;19.0;15.0;13.0;11.0;19.9
2017-11-01;18.1;17.0;;10.1;21.9;14.1;16.1;13.0;21.9
2017-11-02;15.0;12.1;14.1;8.9;19.9;21.0;17.0;21.0;16.1
2017-11-03;14.1;23.0;19.0;17.0;19.0;23.0;19.0;19.0;23.9
2017-11-04;27.1;25.9;17.0;17.0;23.0;18.1;19.0;23.0;18.1
2017-11-05;19.0;21.0;16.1;23.0;19.0;16.1;15.0;29.1;17.0
2017-11-06;15.0;16.1;19.9;12.1;19.9;13.0;16.1;23.0;21.0
2017-11-07;14.1;14.1;17.0;12.1;19.0;13.0;16.1;35.1;13.0
2017-11-08;15.0;28.0;15.0;14.1;19.9;19.9;21.0;19.0;21.9
2017-11-09;21.9;19.9;16.1;21.9;21.0;25.9;21.9;23.0;21.0
2017-11-10;15.0;15.0;;17.0;21.0;18.1;19.0;18.1;18.1
2017-11-11;13.0;14.1;13.0;10.1;21.0;8.1;15.0;23.0;16.1
2017-11-12;11.0;11.0;10.1;8.9;15.0;11.0;17.0;23.9;13.0
2017-11-13;15.0;17.0;14.1;10.1;17.0;21.0;16.1;19.9;21.0
2017-11-14;13.0;15.0;15.0;8.9;18.1;14.1;17.0;21.0;14.1
2017-11-15;11.0;27.1;11.0;16.1;16.1;23.9;19.9;8.9;23.9
2017-11-16;14.1;25.9;16.1;23.0;19.0;23.0;17.0;34.0;19.9
2017-11-17;28.0;19.0;16.1;28.0;21.9;21.9;16.1;21.9;21.0
2017-11-18;;16.1;16.1;8.9;23.0;16.1;23.0;19.0;13.0
2017-11-19;18.1;13.0;12.1;10.1;21.9;11.0;16.1;15.0;12.1
2017-11-20;13.0;16.1;17.0;11.0;15.0;19.0;14.1;13.0;13.0
2017-11-21;13.0;16.1;14.1;6.9;17.0;17.0;13.0;17.0;11.0
2017-11-22;15.0;17.0;12.1;8.1;15.0;12.1;15.0;19.0;13.0
2017-11-23;13.0;10.1;12.1;12.1;17.0;8.9;14.1;38.0;13.0
2017-11-24;11.0;11.0;18.1;10.1;17.0;16.1;10.1;35.1;13.0
2017-11-25;16.1;15.0;12.1;14.1;14.1;14.1;12.1;21.9;19.9
2017-11-26;17.0;30.0;19.9;19.9;30.0;25.1;16.1;14.1;21.0
2017-11-27;40.0;47.0;25.1;29.1;31.1;27.1;27.1;13.0;29.1
2017-11-28;10.1;14.1;;17.0;17.0;14.1;13.0;8.1;19.0
2017-11-29;19.9;12.1;;11.0;17.0;16.1;11.0;14.1;17.0
2017-11-30;17.0;15.0;12.1;14.1;17.0;10.1;11.0;14.1;18.1
2017-12-01;12.1;10.1;13.0;8.9;16.1;12.1;19.9;19.0;12.1
2017-12-02;14.1;19.0;8.1;10.1;16.1;21.0;13.0;18.1;10.1
2017-12-03;12.1;27.1;12.1;25.1;15.0;23.9;14.1;23.9;25.9
2017-12-04;13.0;35.1;47.0;12.1;17.0;40.9;12.1;40.9;38.9
2017-12-05;18.1;23.9;52.1;13.0;21.9;27.1;11.0;33.1;16.1
2017-12-06;11.0;21.0;44.1;11.0;14.1;8.1;19.0;19.9;11.0
2017-12-07;19.0;15.0;45.0;8.1;19.0;13.0;32.0;16.1;8.9
2017-12-08;8.1;15.0;13.0;10.1;19.0;8.9;17.0;;10.1
2017-12-09;8.9;11.0;25.1;6.9;23.0;8.9;11.0;17.0;11.0
2017-12-10;14.1;12.1;11.0;8.1;17.0;8.1;14.1;23.9;8.9
2017-12-11;14.1;8.9;12.1;8.9;14.1;19.0;15.0;27.1;8.9
2017-12-12;12.1;15.0;12.1;6.9;15.0;8.1;13.0;36.9;12.1
2017-12-13;11.0;16.1;15.0;10.1;16.1;10.1;11.0;18.1;12.1
2017-12-14;12.1;15.0;21.9;8.9;15.0;10.1;14.1;18.1;12.1
2017-12-15;13.0;16.1;13.0;12.1;16.1;11.0;14.1;13.0;14.1
